"","WOType","Borough","WOCategory","WOWoodRemains","WOWireConflict","CreatedDate"
"4249","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4250","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/15"
"4251","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4252","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/04"
"4253","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"4254","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4255","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4256","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"4257","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4258","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4259","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/03"
"4260","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4261","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4262","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"4263","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4264","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"4265","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/01"
"4266","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4267","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4268","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/14"
"4269","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/24"
"4270","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4271","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/03"
"4272","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4273","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4274","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"4275","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"4276","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4277","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"4278","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"4279","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4280","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4281","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/25"
"4282","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4283","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"4284","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"4285","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"4286","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4287","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"4288","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"4289","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"4290","Stump Removal","Bronx","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/28"
"4291","Tree Removal","Brooklyn","Risk Mitigation","> 12 in diam, <4 ft length","Electric Utility Open","20/02/04"
"4292","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/25"
"4293","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/06"
"4294","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4295","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4296","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/11"
"4297","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/04"
"4298","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4299","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4300","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4301","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4302","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4303","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/07"
"4304","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"4305","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/27"
"4306","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/04"
"4307","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/04"
"4308","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"4309","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4310","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4311","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4312","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4313","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/05"
"4314","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4315","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4316","Tree Removal","Queens","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/28"
"4317","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4318","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4319","Tree Plant-Street Tree","Staten Island","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/02"
"4320","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4321","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4322","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4323","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/18"
"4324","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4325","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4326","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4327","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"4328","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4329","Tree Down","Brooklyn","Post-Failure Tree/Debris Removal","> 12 in diam, <4 ft length","No Util Conflict Present","20/02/07"
"4330","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4331","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/27"
"4332","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4333","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"4334","Tree Down","Queens","Post-Failure Tree/Debris Removal","No Wood Debris","No Util Conflict Present","20/02/28"
"4335","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4336","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4337","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"4338","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4339","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"4340","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"4341","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4342","Misc Wood","Staten Island","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/07"
"4343","Hanging Limb","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/09"
"4344","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4345","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"4346","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"4347","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4348","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"4349","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"4350","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/12"
"4351","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4352","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"4353","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4354","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/05"
"4355","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"4356","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"4357","Tree Removal","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/13"
"4358","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4359","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"4360","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4361","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"4362","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"4363","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4364","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"4365","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4366","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4367","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4368","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4369","Pruning","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/11"
"4370","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/24"
"4371","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"4372","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"4373","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/27"
"4374","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"4375","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4376","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4377","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4378","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4379","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"4380","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"4381","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"4382","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/18"
"4383","Pruning","Bronx","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/06"
"4384","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"4385","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"4386","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/03"
"4387","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/17"
"4388","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/14"
"4389","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4390","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/25"
"4391","Tree Removal","Queens","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/27"
"4392","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4393","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"4394","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"4395","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/11"
"4396","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4397","Pruning","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"4398","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4399","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"4400","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4401","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4402","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"4403","Pruning","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/02"
"4404","Tree Plant-Street Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/04"
"4405","Tree Plant-Park Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/24"
"4406","Stump Removal","Bronx","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/09"
"4407","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4408","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"4409","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/21"
"4410","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"4411","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/28"
"4412","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/05"
"4413","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4414","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"4415","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"4416","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/24"
"4417","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/28"
"4418","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"4419","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/18"
"4420","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4421","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"4422","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4423","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"4424","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4425","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4426","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/20"
"4427","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"4428","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"4429","Tree Removal","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"4430","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/20"
"4431","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"4432","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4433","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4434","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4435","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4436","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"4437","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/14"
"4438","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"4439","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4440","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4441","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Pending","20/02/03"
"4442","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4443","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"4444","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"4445","Block Pruning","Bronx","Block Pruning","No Wood Debris","Electric Utility Open","20/02/11"
"4446","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4447","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"4448","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4449","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4450","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4451","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4452","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"4453","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4454","Limb Down","Brooklyn","Post-Failure Tree/Debris Removal","No Wood Debris","No Util Conflict Present","20/02/05"
"4455","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4456","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"4457","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"4458","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4459","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/14"
"4460","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4461","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"4462","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4463","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4464","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/11"
"4465","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/28"
"4466","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"4467","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4468","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4469","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/18"
"4470","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/15"
"4471","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4472","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"4473","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4474","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"4475","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4476","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4477","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"4478","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4479","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4480","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4481","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4482","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4483","Pruning","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/08"
"4484","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"4485","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4486","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"4487","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"4488","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4489","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"4490","Tree Removal","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/10"
"4491","Block Pruning","Queens","Block Pruning","< 4 in diam, <4 ft length","Electric Utility Open","20/02/03"
"4492","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4493","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/21"
"4494","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"4495","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4496","Pruning","Staten Island","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/24"
"4497","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/24"
"4498","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4499","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"4500","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"4501","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/27"
"4502","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4503","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4504","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"4505","Pruning","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/08"
"4506","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4507","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"4508","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"4509","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"4510","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/24"
"4511","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4512","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4513","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4514","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"4515","Canopy Reduction","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"4516","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"4517","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4518","Tree Plant-Street Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"4519","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"4520","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4521","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4522","Pruning","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/04"
"4523","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"4524","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/24"
"4525","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"4526","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4527","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/27"
"4528","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"4529","Stump Removal for Tree Planting","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/24"
"4530","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"4531","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"4532","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"4533","Stump Removal for Tree Planting","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/20"
